date,mode,count
2022-12-27,AAR,21363
2022-12-28,AAR,23571
2022-12-29,AAR,23200
2022-12-30,AAR,22951
2022-12-31,AAR,14090
2023-01-01,AAR,11476
2023-01-02,AAR,10136
2023-01-03,AAR,24868
2023-01-04,AAR,26848
2023-01-05,AAR,26808
2023-01-06,AAR,25824
2023-01-07,AAR,14828
2023-01-08,AAR,15157
2023-01-09,AAR,24923
2023-01-10,AAR,27309
2023-01-11,AAR,27991
2023-01-12,AAR,27119
2023-01-13,AAR,26085
2023-01-14,AAR,15407
2023-01-15,AAR,15198
2023-01-16,AAR,14617
2023-01-17,AAR,27214
2023-01-18,AAR,29223
2023-01-19,AAR,26737
2023-01-20,AAR,26548
2023-01-21,AAR,15580
2023-01-22,AAR,14721
2023-01-23,AAR,25087
2023-01-24,AAR,27701
2023-01-25,AAR,26738
2023-01-26,AAR,27061
2023-01-27,AAR,26826
2023-01-28,AAR,15577
2023-01-29,AAR,15371
2023-01-30,AAR,25676
2023-01-31,AAR,27308
2023-02-01,AAR,28492
2023-02-02,AAR,27917
2023-02-03,AAR,26238
2023-02-04,AAR,13439
2023-02-05,AAR,15413
2023-02-06,AAR,26639
2023-02-07,AAR,28688
2023-02-08,AAR,29653
2023-02-09,AAR,28515
2023-02-10,AAR,28094
2023-02-11,AAR,16638
2023-02-12,AAR,16305
2023-02-13,AAR,25900
2023-02-14,AAR,29001
2023-02-15,AAR,29119
2023-02-16,AAR,28364
2023-02-17,AAR,26759
2023-02-18,AAR,15612
2023-02-19,AAR,16165
2023-02-20,AAR,14818
2023-02-21,AAR,27224
2023-02-22,AAR,27895
2023-02-23,AAR,27336
2023-02-24,AAR,26077
2023-02-25,AAR,15461
2023-02-26,AAR,15891
2023-02-27,AAR,26730
2023-02-28,AAR,26116
2023-03-01,AAR,29449
2023-03-02,AAR,28978
2023-03-03,AAR,27298
2023-03-04,AAR,16263
2023-03-05,AAR,16956
2023-03-06,AAR,27550
2023-03-07,AAR,28417
2023-03-08,AAR,30476
2023-03-09,AAR,29847
2023-03-10,AAR,28209
2023-03-11,AAR,15493
2023-03-12,AAR,16644
2023-03-13,AAR,26027
2023-03-14,AAR,26262
2023-03-15,AAR,29687
2023-03-16,AAR,30151
2023-03-17,AAR,28094
2023-03-18,AAR,16828
2023-03-19,AAR,16471
2023-03-20,AAR,26951
2023-03-21,AAR,29466
2023-03-22,AAR,29999
2023-03-23,AAR,29189
2023-03-24,AAR,27883
2023-03-25,AAR,15556
2023-03-26,AAR,16878
2023-03-27,AAR,26394
2023-03-28,AAR,28923
2023-03-29,AAR,29771
2023-03-30,AAR,29363
2023-03-31,AAR,28599
2023-04-01,AAR,16428
2023-04-02,AAR,17660
2023-04-03,AAR,27387
2023-04-04,AAR,29698
2023-04-05,AAR,29462
2023-04-06,AAR,27061
2023-04-07,AAR,23831
2023-04-08,AAR,16256
2023-04-09,AAR,19026
2023-04-10,AAR,24135
2023-04-11,AAR,27777
2023-04-12,AAR,28326
2023-04-13,AAR,28451
2023-04-14,AAR,27514
2023-04-15,AAR,16804
2023-04-16,AAR,16835
2023-04-17,AAR,27611
2023-04-18,AAR,29658
2023-04-19,AAR,30829
2023-04-20,AAR,30106
2023-04-21,AAR,27777
2023-04-22,AAR,16865
2023-04-23,AAR,15947
2023-04-24,AAR,27254
2023-04-25,AAR,29504
2023-04-26,AAR,30191
2023-04-27,AAR,29969
2023-04-28,AAR,28306
2023-04-29,AAR,15688
2023-04-30,AAR,15451
2023-05-01,AAR,27445
2023-05-02,AAR,29472
2023-05-03,AAR,30850
2023-05-04,AAR,30449
2023-05-05,AAR,28952
2023-05-06,AAR,18349
2023-05-07,AAR,17822
2023-05-08,AAR,27771
2023-05-09,AAR,29923
2023-05-10,AAR,31360
2023-05-11,AAR,30899
2023-05-12,AAR,29397
2023-05-13,AAR,18340
2023-05-14,AAR,20222
2023-05-15,AAR,25892
2023-05-16,AAR,29747
2023-05-17,AAR,30423
2023-05-18,AAR,29842
2023-05-19,AAR,28381
2023-05-20,AAR,16570
2023-05-21,AAR,17545
2023-05-22,AAR,27038
2023-05-23,AAR,29538
2023-05-24,AAR,30495
2023-05-25,AAR,29311
2023-05-26,AAR,27037
2023-05-27,AAR,16731
2023-05-28,AAR,17527
2023-05-29,AAR,12121
2023-05-30,AAR,27645
2023-05-31,AAR,30078
2023-06-01,AAR,30088
2023-06-02,AAR,29570
2023-06-03,AAR,18118
2023-06-04,AAR,18429
2023-06-05,AAR,27920
2023-06-06,AAR,29999
2023-06-07,AAR,31147
2023-06-08,AAR,27689
2023-06-09,AAR,25845
2023-06-10,AAR,17996
2023-06-11,AAR,17958
2023-06-12,AAR,27520
2023-06-13,AAR,30441
2023-06-14,AAR,30661
2023-06-15,AAR,31298
2023-06-16,AAR,28693
2023-06-17,AAR,17967
2023-06-18,AAR,19384
2023-06-19,AAR,17494
2023-06-20,AAR,29482
2023-06-21,AAR,31019
2023-06-22,AAR,29220
2023-06-23,AAR,28619
2023-06-24,AAR,16937
2023-06-25,AAR,17103
2023-06-26,AAR,26823
2023-06-27,AAR,29246
2023-06-28,AAR,29092
2023-06-29,AAR,28876
2023-06-30,AAR,28028
2023-07-01,AAR,17093
2023-07-02,AAR,16717
2023-07-03,AAR,23795
2023-07-04,AAR,13059
2023-07-05,AAR,28774
2023-07-06,AAR,29894
2023-07-07,AAR,28609
2023-07-08,AAR,17879
2023-07-09,AAR,16695
2023-07-10,AAR,27354
2023-07-11,AAR,30085
2023-07-12,AAR,31015
2023-07-13,AAR,29980
2023-07-14,AAR,28489
2023-07-15,AAR,18043
2023-07-16,AAR,16496
2023-07-17,AAR,27637
2023-07-18,AAR,29105
2023-07-19,AAR,30527
2023-07-20,AAR,29745
2023-07-21,AAR,27485
2023-07-22,AAR,18283
2023-07-23,AAR,18021
2023-07-24,AAR,27222
2023-07-25,AAR,29285
2023-07-26,AAR,30501
2023-07-27,AAR,28692
2023-07-28,AAR,27522
2023-07-29,AAR,16747
2023-07-30,AAR,17450
2023-07-31,AAR,26682
2023-08-01,AAR,29354
2023-08-02,AAR,30380
2023-08-03,AAR,30483
2023-08-04,AAR,28128
2023-08-05,AAR,18835
2023-08-06,AAR,18805
2023-08-07,AAR,27174
2023-08-08,AAR,29435
2023-08-09,AAR,30849
2023-08-10,AAR,29758
2023-08-11,AAR,29109
2023-08-12,AAR,18390
2023-08-13,AAR,18071
2023-08-14,AAR,27185
2023-08-15,AAR,29122
2023-08-16,AAR,30763
